file,reference
Australian_EV_sales(2022),https://www.drive.com.au/news/australias-best-selling-electric-cars-2022/
Monthly_ULP_price(2001-2023),fuelwatchWA
EV sales 2021,EVvolumes.com
Total_car_sales_2021,https://www.factorywarrantylist.com/car-sales-by-country.html
Electricity_2021-2022_WA,Synergy
model_electrictiy_comsum,https://ev-database.org/cheatsheet/energy-consumption-electric-car
station_data_dataverse,Kaggle
2022-2023_model_consumption,https://www.greenvehicleguide.gov.au/Vehicle/Search
Electric_Vehicles_Registration_Number,https://data.gov.au/dataset/ds-actmapi-https%3A%2F%2Fwww.arcgis.com%2Fhome%2Fitem.html%3Fid%3D242f77a6e1b7436399c220fa6ff7586b%26sublayer%3D0/details?q=Electric%20vehicles
Public_charging_infrastructure,https://electricvehiclecouncil.com.au/wp-content/uploads/2021/08/EVC-State-of-EVs-2021-sm.pdf
Australia_city,https://simplemaps.com/data/au-cities
